CustomerID,Tenure,PhoneService_Numeric,Contract_Numeric,PaymentMethod_Numeric,MonthlyCharges,TotalCharges,Churn_Numeric,MonthlyChargesPerTenure,LogTotalCharges
3780-YVMFA,8,1,0,0,68.55,564.35,0,8.56875,6.3356746264016355
3874-EQOEP,7,1,0,1,95.0,655.5,1,13.571428571428571,6.4853983032037545
1679-JRFBR,70,1,1,3,108.15,7930.55,0,1.5450000000000002,8.978477669096453
9073-ZZIAY,62,1,2,0,86.1,5215.25,0,1.3887096774193548,8.559342304924396
3077-RSNTJ,6,1,0,1,19.7,113.5,0,3.283333333333333,4.7318028369214575
6551-GNYDG,14,1,0,2,80.9,1152.8,0,5.778571428571429,7.049949044685312
9167-APMXZ,22,1,0,2,84.15,1821.95,0,3.825,7.507662635072334
2749-CTKAJ,22,1,1,1,20.15,419.9,0,0.9159090909090909,6.040016587690148
6371-NZYEG,16,1,2,1,64.25,1024.0,0,4.015625,6.931471805599453
7554-NEWDD,10,1,2,2,25.7,251.6,0,2.57,5.527840524826286
8992-VONJD,13,1,0,0,56.0,764.55,0,4.3076923076923075,6.63928742545416
0867-MKZVY,20,1,0,0,82.4,1592.35,1,4.12,7.372966191487255
4482-EWFMI,2,1,0,0,69.7,135.2,0,34.85,4.906755163608864
4648-YPBTM,53,1,2,2,73.9,3958.25,0,1.3943396226415095,8.283557287381544
2907-ILJBN,11,1,1,1,20.6,233.9,0,1.8727272727272728,5.454893673590133
6345-FZOQH,69,1,2,1,19.9,1363.45,0,0.28840579710144926,7.21777353127957
3376-BMGFE,4,1,0,2,70.9,273.0,1,17.725,5.60947179518496
5997-OPVFA,72,1,2,2,89.05,6254.45,0,1.2368055555555555,8.741048489378697
3445-HXXGF,58,0,0,0,45.3,2651.2,1,0.7810344827586206,7.882767646672298
1159-WFSGR,16,1,0,0,20.4,321.4,0,1.275,5.772686453303412
7654-YWJUF,43,1,1,2,84.25,3539.25,0,1.9593023255813953,8.171670119274607
1875-QIVME,2,1,0,0,104.4,242.8,1,52.2,5.492238059185343
6727-IOTLZ,14,1,2,1,81.95,1181.75,0,5.853571428571429,7.074751669673346
0691-JVSYA,53,1,1,2,94.85,5000.2,1,1.7896226415094338,8.517233190616258
5918-VUKWP,32,1,1,2,20.55,654.55,0,0.6421875,6.483947976626108
1744-JHKYS,34,1,0,0,24.7,780.2,0,0.7264705882352941,6.659550297072556
2656-FMOKZ,15,1,0,1,74.45,1145.7,1,4.963333333333334,7.04377108289958
2070-FNEXE,7,1,0,2,76.45,503.6,1,10.921428571428573,6.221782302170192
5947-SGKCL,15,1,0,2,105.35,1559.25,0,7.0233333333333325,7.351960215406232
3712-PKXZA,61,1,1,3,20.55,1252.0,0,0.3368852459016394,7.132497551660044
6317-YPKDH,1,0,0,2,29.95,29.95,1,29.95,3.3995293245614584
6582-OIVSP,1,1,0,1,45.3,45.3,0,45.3,3.8133070324889884
9367-WXLCH,8,1,0,2,84.5,662.65,1,10.5625,6.4962469473266875
5524-KHNJP,33,1,1,3,74.75,2453.3,0,2.265151515151515,7.805189336005987
1918-ZBFQJ,13,1,0,0,79.25,1111.65,1,6.096153846153846,7.013600677065478
1024-GUALD,1,0,0,0,24.8,24.8,1,24.8,3.2108436531709366
4827-USJHP,20,1,0,1,51.8,1023.85,0,2.59,6.931325310494569
8167-GJLRN,3,0,0,0,30.4,82.15,0,10.133333333333333,4.408546844483277
0956-SYCWG,13,1,1,0,19.65,244.8,0,1.5115384615384615,5.500441550638171
8017-UVSZU,40,1,0,3,56.6,2379.1,0,1.415,7.774477543887798
7100-FQPRV,43,1,1,3,71.9,3173.35,0,1.672093023255814,8.062543091204349
2472-OVKUP,6,1,0,0,91.0,531.0,1,15.166666666666666,6.274762021241939
2984-RGEYA,69,1,2,2,19.75,1375.4,0,0.286231884057971,7.226499876885736
9680-NIAUV,72,1,2,3,109.7,8129.3,0,1.5236111111111112,9.003230097973956
2146-EGVDT,59,1,2,3,19.3,1192.7,0,0.3271186440677966,7.083974923584623
2604-IJPDU,20,1,0,0,96.55,1901.65,0,4.8275,7.5504772093477674
9178-JHUVJ,24,1,2,2,24.1,587.4,0,1.0041666666666667,6.37570601876452
6168-YBYNP,59,1,0,0,111.35,6519.75,0,1.8872881355932203,8.782591310627284
7255-SSFBC,72,1,2,2,112.25,8041.65,0,1.5590277777777777,8.992389564998069
3645-DEYGF,1,1,0,1,20.75,20.75,0,20.75,3.0325462466767075
9323-HGFWY,27,1,1,3,101.9,2681.15,0,3.774074074074074,7.894001085943517
8544-GOQSH,14,1,0,3,80.05,1112.3,0,5.7178571428571425,7.014185222597984
3363-DTIVD,71,1,2,0,105.55,7405.5,0,1.486619718309859,8.909978246367027
7018-WBJNK,13,1,0,3,78.3,1033.95,0,6.023076923076923,6.941141697999771
9142-KZXOP,44,1,0,3,68.85,2958.95,0,1.5647727272727272,7.992589754656903
7674-YTAFD,33,1,1,2,79.95,2684.85,0,2.422727272727273,7.8953801394606185
6348-SNFUS,72,0,2,3,55.45,4179.2,0,0.7701388888888889,8.337875119642057
1285-OKIPP,1,1,0,0,79.9,79.9,1,79.9,4.380775852772229
7825-ECJRF,19,1,0,0,106.6,1934.45,1,5.610526315789474,7.567578327334585
1347-KTTTA,64,1,1,3,102.45,6654.1,0,1.60078125,8.802988485019748
7841-TZDMQ,2,1,0,3,46.0,84.5,1,23.0,4.436751534363128
4195-NZGTA,1,0,0,0,25.25,25.25,0,25.25,3.228826155721369
7157-SMCFK,61,1,2,1,19.75,1124.2,0,0.3237704918032787,7.024826950567975
4709-LKHYG,29,1,1,0,20.0,540.05,0,0.6896551724137931,6.291661727864483
2504-DSHIH,23,1,0,0,86.8,1975.85,0,3.773913043478261,7.588753964495258
0699-NDKJM,57,0,0,2,58.75,3437.45,0,1.030701754385965,8.142485196414494
9286-BHDQG,72,0,2,3,45.25,3139.8,0,0.6284722222222222,8.051914382606217
0230-WEQUW,66,0,2,2,56.6,3789.2,0,0.8575757575757575,8.239910194001379
2040-LDIWQ,65,1,2,2,84.2,5324.5,0,1.2953846153846154,8.580074089455438
6496-JDSSB,8,1,0,2,80.0,624.6,0,10.0,6.437111444848978
9408-SSNVZ,4,1,0,0,70.15,268.35,1,17.5375,5.592292098622838
4443-EMBNA,71,1,2,2,24.75,1836.9,0,0.3485915492957746,7.515834647152018
6469-MRVET,1,1,1,0,20.2,20.2,0,20.2,3.005682604407159
0742-MOABM,4,1,0,1,50.05,179.35,1,12.5125,5.1893392039782915
5961-VUSRV,12,1,1,2,19.35,219.35,0,1.6125,5.390668627612223
6778-JFCMK,24,0,1,1,50.6,1288.75,0,2.1083333333333334,7.16142803533117
6341-JVQGF,31,1,1,1,81.15,2545.75,0,2.6177419354838714,7.842180581051775
2232-DMLXU,1,1,0,1,55.2,55.2,1,55.2,4.01096295328305
4811-JBUVU,30,1,0,3,89.9,2723.15,0,2.996666666666667,7.909544577458438
0945-TSONX,47,1,2,3,85.3,4107.25,0,1.8148936170212766,8.320508983786446
2651-ZCBXV,54,1,2,3,108.0,5760.65,0,2.0,8.65880559454539
3316-UWXUY,50,1,0,3,93.5,4747.5,0,1.87,8.465373442686442
8937-RDTHP,1,1,0,1,84.6,84.6,1,84.6,4.437934266612178
7083-MIOPC,72,1,2,3,20.25,1566.9,0,0.28125,7.356854424110363
1984-GPTEH,29,1,0,0,25.15,702.0,0,0.8672413793103447,6.553933404025811
1251-KRREG,2,1,0,1,54.4,114.1,1,27.2,4.73707525686803
0621-JFHOL,10,0,2,1,29.6,299.05,0,2.96,5.700610783490566
9903-LYSAB,18,1,0,0,73.15,1305.95,0,4.063888888888889,7.17468602426429
0094-OIFMO,11,1,0,0,95.0,1120.3,1,8.636363636363637,7.021351785564677
9227-UAQFT,16,1,2,1,19.75,284.35,0,1.234375,5.6502058737528085
7301-ABVAD,72,1,2,2,86.6,6350.5,0,1.2027777777777777,8.756288828944374
6614-FHDBO,72,1,2,2,109.2,7878.3,0,1.5166666666666666,8.971867423536949
7576-ASEJU,41,1,1,3,74.7,3187.65,0,1.8219512195121952,8.06703924718298
9058-HRZSV,65,1,0,0,94.4,6126.15,0,1.4523076923076923,8.720321772891186
4522-AKYLR,13,1,0,0,54.8,731.3,0,4.2153846153846155,6.594823772276905
0221-WMXNQ,4,1,0,0,75.35,273.4,0,18.8375,5.610935924289849
0303-UNCIP,41,1,1,1,65.0,2531.8,0,1.5853658536585367,7.836685791202728
9947-OTFQU,15,1,0,0,74.4,1074.3,1,4.96,6.979424565672496
0322-YINQP,1,1,0,1,48.55,48.55,1,48.55,3.882594194737334
0959-WHOKV,42,1,1,0,99.0,4298.45,0,2.357142857142857,8.366009771582208
4075-JFPGR,51,1,1,0,93.5,4619.55,0,1.8333333333333333,8.43805257673444
4629-NRXKX,2,1,0,0,70.4,147.15,1,35.2,4.991452474679482
9514-JDSKI,1,0,0,0,40.2,40.2,1,40.2,3.6938669956249757
3282-ZISZV,32,1,1,3,83.7,2633.3,0,2.615625,7.875993091479039
3675-YDUPJ,10,1,0,1,19.85,193.05,0,1.985,5.262949222710246
4111-BNXIF,67,0,2,0,59.55,4103.9,0,0.8888059701492537,8.319693020082003
7017-VFHAY,61,1,2,3,115.1,7008.15,0,1.8868852459016392,8.854829036496751
6655-LHBYW,50,1,1,3,114.35,5791.1,0,2.287,8.664077535251451
4959-JOSRX,2,1,0,3,44.6,80.55,1,22.3,4.388878109622984
5046-NUHWD,29,0,0,0,45.0,1228.65,0,1.5517241379310345,7.113671284629721
7273-TEFQD,3,0,0,0,41.15,132.2,1,13.716666666666667,4.884315927417586
3606-TWKGI,13,1,0,0,106.9,1364.3,1,8.223076923076924,7.218396755568828
7529-ZDFXI,57,1,0,0,89.85,4925.35,0,1.5763157894736841,8.502150617070969
7605-BDWDC,31,0,2,2,49.85,1520.1,0,1.6080645161290323,7.326531401149974
1950-KSVVJ,45,1,1,1,113.3,5032.25,0,2.517777777777778,8.52362247918114
0123-CRBRT,61,1,2,1,88.1,5526.75,0,1.444262295081967,8.617355218315218
6292-TOSSS,50,1,2,2,24.9,1195.25,0,0.498,7.086110647506213
3197-ARFOY,19,1,0,1,105.0,2007.25,0,5.526315789473684,7.604520905064794
6323-AYBRX,59,1,2,1,19.35,1099.6,1,0.3279661016949153,7.00270175629109
7014-ZZXAW,71,1,2,3,24.25,1732.95,0,0.3415492957746479,7.457580437597137
4385-GZQXV,16,1,0,0,94.45,1511.2,1,5.903125,7.3206593161872995
7633-MVPUY,57,1,2,0,59.75,3450.15,0,1.0482456140350878,8.146172987341123
6366-ZGQGL,1,0,0,2,24.8,24.8,1,24.8,3.2108436531709366
4716-HHKQH,20,1,0,0,107.05,2172.05,0,5.3525,7.683426701046691
5940-AHUHD,1,1,0,1,70.6,70.6,1,70.6,4.257030144499196
6432-TWQLB,5,1,0,0,85.4,401.1,1,17.080000000000002,5.9942107727760074
4484-GLZOU,52,1,0,0,105.05,5624.85,1,2.020192307692308,8.634949560050392
3179-GBRWV,21,1,0,2,64.95,1339.8,0,3.092857142857143,7.200275628074167
8645-KWHJO,14,0,0,0,55.0,771.95,0,3.9285714285714284,6.648919781087936
4130-MZLCC,5,1,0,2,50.55,244.75,0,10.11,5.5002372814106195
0314-TKOSI,6,1,0,1,55.15,322.9,0,9.191666666666666,5.77734267776423
8229-MYEJZ,10,1,0,0,51.2,498.25,0,5.12,6.211101959092904
2080-SRCDE,1,1,0,1,25.4,25.4,0,25.4,3.2347491740244907
9577-WJVCQ,68,1,0,1,54.45,3687.75,0,0.8007352941176471,8.212771794960158
9512-UIBFX,18,1,0,1,95.15,1779.95,1,5.286111111111111,7.484340553003962
6202-DYYFX,22,1,1,3,76.0,1783.6,0,3.4545454545454546,7.4863890727533215
3808-HFKDE,20,1,0,0,44.35,927.15,0,2.2175000000000002,6.832115364773392
5583-SXDAG,1,1,0,0,70.0,70.0,1,70.0,4.248495242049359
3488-PGMQJ,8,1,0,0,74.5,606.55,1,9.3125,6.407787165216928
3580-REOAC,10,1,0,3,44.85,435.4,1,4.485,6.076265148800447
7534-BFESC,24,1,0,0,76.1,1712.7,1,3.170833333333333,7.445826351638323
3727-OWVYD,35,1,1,1,61.2,2021.2,0,1.7485714285714287,7.6114466734177535
2294-SALNE,23,1,1,1,86.8,1940.8,0,3.773913043478261,7.570855538189786
4847-TAJYI,6,1,0,0,89.35,567.8,0,14.891666666666666,6.341769244038871
1563-IWQEX,12,1,0,1,19.7,220.35,0,1.6416666666666666,5.395217191287996
8203-XJZRC,1,1,0,1,20.25,20.25,0,20.25,3.0081547935525483
6556-DBKZF,71,1,2,0,76.05,5436.45,0,1.0711267605633803,8.600881553301793
6851-WEFYX,35,1,0,0,100.8,3437.5,0,2.88,8.142499741974827
2985-JUUBZ,40,1,0,0,74.55,3015.75,0,1.86375,8.011603834445493
6390-DSAZX,1,1,0,1,73.6,73.6,1,73.6,4.298645025734831
0895-LMRSF,23,1,1,2,64.9,1509.8,0,2.821739130434783,7.3197324707055245
8098-LLAZX,4,1,0,0,95.45,396.1,1,23.8625,5.981666704627871
8266-VBFQL,4,1,0,0,90.4,356.65,0,22.6,5.876754908724047
8181-YHCMF,68,0,2,3,60.3,4109.0,0,0.8867647058823529,8.32093496888341
2240-HSJQD,38,1,0,1,81.85,3141.7,0,2.1539473684210524,8.052519333671391
1248-DYXUB,52,1,2,1,24.8,1229.1,0,0.47692307692307695,7.114037473220935
0265-EDXBD,32,1,0,0,74.9,2303.35,1,2.340625,7.742119863957441
4115-BNPJY,29,1,2,1,75.55,2054.4,0,2.6051724137931034,7.627739113495642
3167-SNQPL,38,1,0,0,101.15,3741.85,0,2.6618421052631582,8.227335420514823
4091-TVOCN,48,1,1,3,78.75,3682.45,0,1.640625,8.211333570512089
1098-TDVUQ,1,1,0,2,19.25,19.25,0,19.25,2.9575110607337933
7277-OZCGZ,22,1,0,0,89.05,1886.25,0,4.047727272727273,7.542346010082059
1557-EMYVT,43,1,2,3,115.05,4895.1,0,2.675581395348837,8.495989983765135
2799-ARNLO,5,1,0,0,69.35,341.6,0,13.87,5.833640461914415
7563-BIUPC,5,1,0,0,80.6,415.55,1,16.119999999999997,6.029602943999035
5027-YOCXN,51,1,1,3,110.05,5686.4,0,2.157843137254902,8.645832637960332
3973-SKMLN,71,1,2,3,19.9,1355.1,0,0.28028169014084503,7.211630531328668
2321-OMBXY,38,1,1,3,80.3,3058.65,1,2.113157894736842,8.025728921128866
2840-XANRC,24,1,0,0,93.15,2231.05,1,3.88125,7.710227605656074
6745-JEFZB,35,1,0,3,91.5,3236.35,0,2.6142857142857143,8.082201430549729
5020-ZSTTY,54,1,1,2,82.45,4350.1,1,1.526851851851852,8.377954112324245
9880-TDQAC,72,0,2,0,60.0,4264.0,0,0.8333333333333334,8.357962965845681
